MCS	Id	Type	Volume	SurfaceArea	X_Location	Y_Location	VEGF165	VEGF121	TotalVEGF	CXCL10	CCL2	Growing	Arrested	Quiescent	Apoptotic	Total Cell Number
0	254	1	32	31.020161970069985	71.2930566277749	123.33422523287513	0.04969990998506546	0.0017420639051124454	0.051441973890177906	0.0	0.0018746672431007028	0	0	1	0	254
0	255	1	35	27.297742533661587	78.78234850055777	123.45138173745852	0.054722338914871216	0.004344952758401632	0.05906729167327285	0.002852589590474963	0.0	0	0	1	0	255
0	257	1	33	28.538549012464387	93.58218863425205	123.4038443463875	0.04969990998506546	0.0016720796702429652	0.051371989655308425	0.0	0.0018746672431007028	0	0	1	0	257
0	261	1	31	26.056936054858788	123.53029016790778	123.65036821424347	0.049732472747564316	0.0	0.049732472747564316	0.0	0.003645193763077259	0	0	1	0	261
0	262	1	29	27.297742533661587	131.08692584248544	123.51372767875796	0.05472202226519585	0.004315792582929134	0.05903781484812498	0.0028510536067187786	0.0	0	0	1	0	262
0	264	1	30	27.297742533661587	145.85680158326912	123.33616399299831	0.049716200679540634	0.0013709735358133912	0.051087174215354025	0.0	0.0015067914500832558	0	0	1	0	264
0	265	1	32	27.297742533661587	153.33169123799436	123.15973682179347	0.05470189079642296	0.00418019900098443	0.05888208979740739	0.0028120011556893587	0.0	0	0	1	0	265
0	267	1	29	26.056936054858788	168.34321002929713	123.51372767875797	0.04973185807466507	0.0	0.04973185807466507	0.0	0.0037493344862014055	0	0	1	0	267
0	268	1	31	26.056936054858788	175.16385009228225	123.47025114473982	0.0497187040746212	0.0012957404833287	0.0510144445579499	4.607999471772928e-06	0.001428685849532485	0	0	1	0	268
0	271	1	32	28.538549012464387	198.00072447489512	123.04341121440574	0.05470189079642296	0.00418019900098443	0.05888208979740739	0.0028120011556893587	0.0	0	0	1	0	271
0	272	1	31	26.056936054858788	205.3034397225567	123.11001700573257	0.05570521950721741	0.004228312522172928	0.059933532029390335	0.004744075704365969	0.005692891776561737	0	0	1	0	272
0	273	1	32	28.538549012464387	212.89040222052878	123.21789962548738	0.04971624165773392	0.0013359816512092948	0.05105222330894321	0.0	0.0015037194825708866	0	0	1	0	273
0	274	1	32	27.297742533661587	220.3352410933456	123.2178996254874	0.049699995666742325	0.0016020956682041287	0.051302091334946454	0.0	0.0018685233080759645	0	0	1	0	274
0	276	1	33	27.297742533661587	49.406657974147805	130.5384815995036	0.04978065937757492	0.0007198438397608697	0.05050050321733579	0.0	0.0007508007111027837	0	0	1	0	276
0	277	1	32	26.056936054858788	56.51970448952906	130.77906410569193	0.049725186079740524	0.001038462040014565	0.05076364811975509	0.0	0.0012320246314629912	0	0	1	0	277
0	278	1	32	27.297742533661587	63.83367705403464	130.63365709645728	0.04971814900636673	0.0012473351089283824	0.05096548411529511	0.0	0.001410842640325427	0	0	1	0	278
0	279	1	31	26.056936054858788	71.14624245393472	130.55485587854935	0.049778301268815994	0.0009327118750661612	0.050711013143882155	0.0	0.0006573350983671844	0	0	1	0	279
0	280	1	33	28.538549012464387	78.72071103586399	130.8486832192043	0.049740955233573914	0.0015228972770273685	0.05126385251060128	5.134079765412025e-05	0.0014026507269591093	0	0	1	0	280
0	282	1	31	26.056936054858788	94.03612003668795	130.88507050597275	0.05462218448519707	0.0038186146412044764	0.058440799126401544	0.002660397905856371	8.191999768314417e-06	0	0	1	0	282
0	283	1	32	28.538549012464387	101.33414473566452	130.6045756946103	0.04971812292933464	0.0012706631096079946	0.050988786038942635	0.0	0.0014128907350823283	0	0	1	0	283
0	284	1	30	26.056936054858788	108.69464754312524	130.6569222179348	0.04971810802817345	0.0012823271099478006	0.05100043513812125	0.0	0.001413914724253118	0	0	1	0	284
0	285	1	31	29.779355491267186	116.2055293414267	130.734972948053	0.04971814900636673	0.0012473351089283824	0.05096548411529511	0.0	0.0014108427567407489	0	0	1	0	285
0	286	1	31	28.538549012464387	123.3651828541961	130.94510952914058	0.04971816763281822	0.001189015107229352	0.050907182740047574	0.0	0.0014221067540347576	0	0	1	0	286
0	288	1	34	26.056936054858788	138.42747279143734	130.74998270384498	0.049726348370313644	0.001050126040354371	0.050776474410668015	0.0	0.0012228087289258838	0	0	1	0	288
0	290	1	31	27.297742533661587	153.09950907808735	130.79501197122087	0.049750518053770065	0.001818666816689074	0.05156918487045914	5.5948799854377285e-05	0.0011957495007663965	0	0	1	0	290
